1,1,123,A
2,2,124,B+
3,3,125,B
4,4,126,C
5,5,127,A-
6,6,128,B+
7,7,123,B
8,8,124,C+
9,9,125,A
10,10,126,B-
11,11,127,A
12,12,128,C
13,13,123,B+
14,14,124,A-
1,1,123,A
2,2,124,B+
3,3,125,B
4,4,126,C
5,5,127,A-
6,6,128,B+
7,7,123,B
8,8,124,C+
9,9,125,A
10,10,126,B-
11,11,127,A
12,12,128,C
13,13,123,B+
14,14,124,A-
1,1,123,A
2,2,124,B+
3,3,125,B
4,4,126,C
5,5,127,A-
6,6,128,B+
7,7,123,B
8,8,124,C+
9,9,125,A
10,10,126,B-
11,11,127,A
12,12,128,C
13,13,123,B+
14,14,124,A-
1,1,123,A
2,2,124,B+
3,3,125,B
4,4,126,C
5,5,127,A-
6,6,128,B+
7,7,123,B
8,8,124,C+
9,9,125,A
10,10,126,B-
11,11,127,A
12,12,128,C
13,13,123,B+
14,14,124,A-
1,1,123,A
2,2,124,B+
3,3,125,B
4,4,126,C
5,5,127,A-
6,6,128,B+
7,7,123,B
8,8,124,C+
9,9,125,A
10,10,126,B-
11,11,127,A
12,12,128,C
13,13,123,B+
14,14,124,A-
1,1,123,A
2,2,124,B+
3,3,125,B
4,4,126,C
5,5,127,A-
6,6,128,B+
7,7,123,B
8,8,124,C+
9,9,125,A
10,10,126,B-
11,11,127,A
12,12,128,C
13,13,123,B+
14,14,124,A-
1,1,123,A
2,2,124,B+
3,3,125,B
4,4,126,C
5,5,127,A-
6,6,128,B+
7,7,123,B
8,8,124,C+
9,9,125,A
10,10,126,B-
11,11,127,A
12,12,128,C
13,13,123,B+
14,14,124,A-
1,1,123,A
2,2,124,B+
3,3,125,B
4,4,126,C
5,5,127,A-
6,6,128,B+
7,7,123,B
8,8,124,C+
9,9,125,A
10,10,126,B-
11,11,127,A
12,12,128,C
13,13,123,B+
14,14,124,A-
1,1,123,A
2,2,124,B+
3,3,125,B
4,4,126,C
5,5,127,A-
6,6,128,B+
7,7,123,B
8,8,124,C+
9,9,125,A
10,10,126,B-
11,11,127,A
12,12,128,C
13,13,123,B+
14,14,124,A-
1,1,123,A
2,2,124,B+
3,3,125,B
4,4,126,C
5,5,127,A-
6,6,128,B+
7,7,123,B
8,8,124,C+
9,9,125,A
10,10,126,B-
11,11,127,A
12,12,128,C
13,13,123,B+
14,14,124,A-
